budget,trial,model,k,accuracy,DP_gap,EO_gap,EqOdds_gap
1000,4,MLP,4,0.8744,0.012106106171548121,0.023487008871989866,0.023487008871989866
1000,5,MLP,4,0.8875,0.00578070641191248,0.02614457831325301,0.02614457831325301
1000,6,MLP,4,0.8613,0.005208696730997067,0.05016722408026757,0.05016722408026757
1000,7,MLP,4,0.8968,0.010945784984246518,0.005705655311293842,0.013772728047085084
1000,8,MLP,4,0.9071,0.0033498652423791173,0.008981494050042985,0.008981494050042985
1000,9,MLP,4,0.8871,0.0037426606219281983,0.012917933130699083,0.012917933130699083
2000,0,MLP,4,0.9103,0.0025669334256347215,0.006988662835844075,0.006988662835844075
2000,1,MLP,4,0.9052,0.00331082007956297,0.02380094941889016,0.02380094941889016
2000,2,MLP,4,0.9149,0.002228331704138156,0.008333333333333333,0.008333333333333333
2000,3,MLP,4,0.9078,0.004358660460506718,0.0021907650825749914,0.004693753991089856
2000,4,MLP,4,0.9123,0.002109010820359117,0.0,0.001979781586756706
2000,5,MLP,4,0.9147,0.0032317388754988597,0.007547169811320755,0.007547169811320755
2000,6,MLP,4,0.9016,0.004876610588666341,0.008140906151329555,0.008140906151329555
2000,7,MLP,4,0.9063,0.0030951929146512897,0.012689738919247117,0.012689738919247117
2000,8,MLP,4,0.9148,0.0007548814618499322,0.0,0.0007494789953973173
2000,9,MLP,4,0.9095,0.0021310538597076045,0.015057020669992871,0.015057020669992871
4000,0,MLP,4,0.9185,0.0014680385353034945,0.0058823529411764705,0.0058823529411764705
4000,1,MLP,4,0.9125,0.002759828831355694,0.006289308176100629,0.006289308176100629
4000,2,MLP,4,0.9152,0.0006567425569176883,0.004651162790697674,0.004651162790697674
4000,3,MLP,4,0.9172,0.0028634361233480176,0.00749063670411985,0.00749063670411985
4000,4,MLP,4,0.9169,0.0010381576311703521,0.005405405405405406,0.005405405405405406
4000,5,MLP,4,0.917,0.0015608740894901144,0.004878048780487805,0.004878048780487805
4000,6,MLP,4,0.9157,0.001969587648974619,0.0,0.00207069790562496
4000,7,MLP,4,0.9206,0.001519756838905775,0.0,0.0016750418760469012
4000,8,MLP,4,0.9173,0.00099601593625498,0.0,0.0012062726176115801
4000,9,MLP,4,0.9179,0.0015404181064441235,0.005714285714285714,0.005714285714285714
6000,0,MLP,4,0.9193,0.0010750963501197663,0.0,0.0011268987896993234
6000,1,MLP,4,0.9149,0.0015267790601647632,0.009345794392523364,0.009345794392523364
6000,2,MLP,4,0.9224,0.0010813500199561511,0.0041841004184100415,0.0041841004184100415
6000,3,MLP,4,0.9183,0.002081165452653486,0.003816793893129771,0.003816793893129771
6000,4,MLP,4,0.9226,0.001105460977227504,0.0,0.0011693171188026192
6000,5,MLP,4,0.9149,0.0004940711462450593,0.0,0.0005443658138268917
6000,6,MLP,4,0.9107,0.0008951996903804132,0.0,0.0010420476644008995
6000,7,MLP,4,0.9179,0.0026255872443620354,0.007518796992481203,0.007518796992481203
6000,8,MLP,4,0.9177,0.0,0.0,0.0
6000,9,MLP,4,0.9185,0.003115264797507788,0.006993006993006993,0.006993006993006993
8000,0,MLP,4,0.9183,0.00102880658436214,0.0037735849056603774,0.0037735849056603774
8000,1,MLP,4,0.9148,0.001098659635245001,0.0,0.0011701380762930026
8000,2,MLP,4,0.9203,0.0004035512510088781,0.0,0.00043591979075850045
8000,3,MLP,4,0.9197,0.0010384215991692627,0.0,0.00125
8000,4,MLP,4,0.9187,0.0010314226949449654,0.005235602094240838,0.005235602094240838
8000,5,MLP,4,0.9133,0.0,0.0,0.0
8000,6,MLP,4,0.9156,0.0030165912518853697,0.005128205128205128,0.005128205128205128
8000,7,MLP,4,0.919,0.0005197505197505198,0.005208333333333333,0.005208333333333333
8000,8,MLP,4,0.915,0.0,0.0,0.0
8000,9,MLP,4,0.92,0.0010070493454179255,0.006172839506172839,0.006172839506172839
10000,0,MLP,4,0.9139,0.0008183306055646482,0.0,0.0008988764044943821
10000,1,MLP,4,0.9182,0.0004035512510088781,0.0,0.0004411116012351125
10000,2,MLP,4,0.9158,0.00039323633503735744,0.0,0.0004288164665523156
10000,3,MLP,4,0.9185,0.0009940357852882703,0.006711409395973154,0.006711409395973154
10000,4,MLP,4,0.918,0.0013280212483399733,0.007434944237918215,0.007434944237918215
10000,5,MLP,4,0.9189,0.000508646998982706,0.005319148936170213,0.005319148936170213
10000,6,MLP,4,0.9169,0.0009398496240601503,0.0,0.0011325028312570782
10000,7,MLP,4,0.9173,0.0010280598504139263,0.015,0.015
10000,8,MLP,4,0.9203,0.0,0.0,0.0
10000,9,MLP,4,0.9182,0.00040290088638195,0.0,0.00043956043956043956
